9781405712705	Butterworths	Halsbury's Laws of England Vol 56	\N	\N
9781848772007	Various	Infinity - Horse	1.50	pounds
9780951927502	Rainger, Tim	Stormrider Guide: Europe	1.63	pounds
9781848772014	Various	Infinity - Ice	1.46	pounds
9781852231194	Paisley, Tim	Carp Fishing	1.25	pounds
9781879097162	Kagan, Dr	Advanced Cooperative Learning: Playing With Elements	1.15	pounds
9781854343260	Bulloch, Ivan	I Want to be a Clown	0.65	pounds
9780711987470	\N	"Oasis": "Familiar to Millions" (Guitar TAB Edition)	1.33	pounds
9780812585650	McCaffrey, Anne	The Year of Lucy	0.35	pounds
9780863698019	Bennett, Cherie	Sunset Secrets	0.30	pounds
9780174324089	\N	Friends and Neighbours (Drama Workshop Plays)	1.11	pounds
9780947971717	Groundwater, Ken	British Railways Past and Present: North Yorkshire, Pt.1: York and Selby, the Dales and Skipton to Garsdale No. 11	0.76	pounds
9780060837570	John, Marie-Elena	Unburnable	1.06	pounds
9781848772045	Sarah Aspinall	Hector	0.44	pounds
9780226115412	Connors	The Robie House of Frank Lloyd Wright (Chicago Architecture and Urbanism)	0.02	pounds
9780743237567	Yang, Charles	The Infinite Gift: How Children Learn and Unlearn the Languages of the World	0.80	pounds
9781852231248	Moss, Bill	Tennis (The Skills of the Game)	0.71	pounds
9781405712415	Bradgate, Robert	The Law of Contract (Butterworths Common Law)	1.74	pounds
9780442307639	Hardy, Kimber	Bacterial Plasmids	0.02	pounds
9780312250423	Kintgen, Gene	Literacy: A Critical Sourcebook	2.20	pounds
9780174324072	Jackson, David	Speaking to You (Poetry)	0.35	pounds
9780863697944	Gower, Andrew	Arafat: The Biography	0.79	pounds
9780824790615	\N	Stress Tolerance of Fungi (Mycology)	1.51	pounds
9781604240573	Owen Wister	The Virginian - A Horseman Of The Plains	1.35	pounds
9781852231262	Palmer, Stan	Skiing Fit : The Fitness Guide Specifically Designed for Skiers	0.50	pounds
9780891078678	Hodge, Charles	1 Corinthians (Crossway Classic Commentaries)	0.86	pounds
9781742679358	Winton, Tim	Breath	0.35	pounds
9781852231279	Treppner, Gerd	Chess: The Mechanics of the Mind	0.45	pounds
9780989583701	Park, Ed	Telomere Timebombs: Defusing the Terror of Aging	0.86	pounds
9780965973106	Mazza, George J.	Healing into Action: A Leadership Guide for Creating Diverse Communities	0.95	pounds
9781416954415	Hapka, Catherine	Something Borrowed (Romantic Comedies (Mass Market))	0.60	pounds
9781844491087	\N	HAL LEONARD BUDGETBOOKS BROADWAY SONGS - PVG Sheet music pop, rock, ... Piano voice guitar	\N	\N
9780174323983	Scott-Hughes, Brian	Junior Drama Workshop: Bk. 1 (Drama anthologies)	0.35	pounds
